"CG3UpCo_Avg: COPR-15min, (N/A)","CM3Up_Avg: COPR-15min, (W/m2)",Weather
327.2,670,S
329.3,668.2,S
326,649.2,S
325.3,634.5,S
325,617.2,S
324.8,601.7,S
325.1,582.9,S
324.4,558.9,S
329.2,557.7,S
330.4,508.5,S
328.9,639,S
325.3,627.5,S
322.3,615.6,S
321.9,593.2,S
322,571,S
326.5,544.4,S
350,376.9,C
346.4,428.2,C
345,380.4,C
352.7,310.2,C
348.8,305.6,C
344.3,356.2,C
342.7,360.1,C
342,403.6,C
324,622.8,S
325.7,602.2,S
328.5,587,S
328.1,541.5,S
328.7,584.5,S
330.1,503.1,S
331.7,462.7,S
332.4,434.1,S
330.7,643.2,S
329.6,641.8,S
329.1,637.8,S
326.8,622.8,S
327.8,615.9,S
328.4,596.7,S
331,574,S
332.7,543.9,S
345.2,529.9,S
336.1,641.2,S
338.4,618.4,S
341.8,600.1,S
344.5,627.5,S
336.6,587.4,S
338.4,583.2,S
332.1,529.5,S
384.7,158.9,C
382.4,245,C
378.1,237.6,C
384.1,168.5,C
384,187.2,C
366.9,225.6,C
375.4,188.6,C
378.7,248.9,C
336.7,636.2,S
336.3,645.3,S
339.5,640,S
343.4,523.2,S
339.3,572.8,S
338.4,601,S
335.6,541.3,S
331.9,514,S
303.9,648.9,S
304.2,648,S
303.5,643.6,S
304.7,631.6,S
304.8,618.1,S
304.8,602.2,S
305.3,581.7,S
305.9,528.5,S
310.9,534,S
311,560.5,S
306,634.2,S
302.7,629.8,S
302.6,613.6,S
301.1,599.7,S
301.4,576.3,S
300.8,549.2,S
332,584.7,S
334.8,533.5,S
334.7,577.6,S
333.6,520.1,S
334.6,594.4,S
335.1,557.3,S
334.3,535.1,S
334.6,513.5,S
336.3,571.5,S
338.3,562.9,S
339.3,590.6,S
339.8,570.9,S
340.5,601,S
339.8,564.4,S
339.9,550.4,S
339.8,521.3,S
350.4,613.8,S
350.1,614.9,S
350.4,611.1,S
350,603.3,S
352.9,590.7,S
354.1,572.3,S
355.2,551.3,S
356.5,525.2,S
330,616,S
331.6,604.9,S
336.4,629.9,S
342.1,609.2,S
343.7,568.8,S
341.1,576.6,S
335.6,521.6,S
333.7,503.8,S
342.5,615.6,S
339.9,600.9,S
338.1,568.3,S
338.5,590.5,S
338.5,562.1,S
339.7,560.7,S
341.6,531,S
342.4,496.9,S
334.7,606.4,S
332.2,572.8,S
333.4,574.3,S
337.3,593.9,S
338.5,571.4,S
339,569.8,S
338.4,544,S
337.7,516.4,S
358.6,370,C
369.5,265.7,C
374.2,245.1,C
379.4,238.8,C
370,282.6,C
361.2,375.4,C
369,267,C
373.9,222.1,C
299.6,620.7,S
299.6,621,S
299.5,619,S
300.5,610.8,S
303.4,596.9,S
303.6,577.6,S
303.4,556.5,S
305.3,529.3,S
297.1,590.2,S
297.4,601.5,S
297.1,537.8,S
298.8,529.2,S
300.1,551.7,S
298.8,546.5,S
297.7,520,S
297.7,470.9,S
300.6,613.1,S
300.9,613.1,S
300.6,608.7,S
301.2,599.7,S
300.1,587.8,S
300.9,569.6,S
301.1,547.6,S
301.2,522,S
302.6,608.1,S
302.4,608.9,S
302.9,604.6,S
303.1,596.1,S
303.4,583.5,S
304.1,565.8,S
303.6,544.9,S
303.2,519.3,S
308.7,597.6,S
307.7,598.5,S
306.9,595.3,S
306.6,587.3,S
306.6,574.8,S
306.8,557.7,S
307.9,536.2,S
307.8,511.3,S
315.5,584.5,S
315.8,569.9,S
316.5,529.2,S
315.2,485.8,S
315.1,522.8,S
315.9,514.5,S
315.1,556,S
314,526.9,S
310.1,592.1,S
310.1,593.2,S
309.5,587.6,S
308.9,580.2,S
308.6,568.2,S
308.5,545.1,S
308.9,527.9,S
309.4,504.2,S
300.9,587.9,F
299.9,590.7,F
299.8,586.6,F
299.2,580.3,F
298,567.3,F
297,546.4,F
295.3,531.7,F
293.9,508.1,F
283.3,562.8,F
282.4,580.6,F
283,582.5,F
285.4,565.5,F
285.9,535.3,F
287,515.1,F
287.9,497.8,F
287.3,475.1,F
289.5,567.1,F
290.3,564.3,F
290.8,544.7,F
290.9,529.3,F
291.8,517,F
293.2,491.5,F
292.8,470.4,F
293.3,446.2,F
311.5,384.8,F
307.5,388.4,F
308.4,395.7,F
309.4,366.6,F
310.9,283.9,F
308.3,284,F
306.8,329.5,F
307.8,287.6,F
308.9,470.9,F
309.6,440.6,F
308,388.8,F
307.6,377.6,F
309.6,330.3,F
317.4,284.6,F
318.6,221.8,F
320.3,146.7,F
328.4,194.6,F
327.7,182.3,F
328,129.9,F
330.3,115.2,F
327.6,170.9,F
322.5,183.6,F
320.4,219.9,F
322.2,190.2,F
325.2,299.6,F
321.4,364.1,F
318.3,443.7,F
318.4,527.9,F
318.3,489.3,F
316.7,465.7,F
316.1,328.8,F
318.6,362.1,F
309,509.9,F
308.8,501.9,F
309.1,524.7,F
314,511.8,F
311.5,533.6,F
312.7,456,F
310.1,449.7,F
309.1,441.8,F
294,466.6,F
293.5,461.6,F
294.6,446.4,F
300.1,438.1,F
302.3,391.9,F
302.9,309.7,F
300.8,234.3,F
304.1,249,F
292.4,559.2,F
292.4,569.9,F
292.5,566.2,F
293.9,556.2,F
295.5,545.1,F
296.9,527.7,F
295.6,507.1,F
294.9,482.3,F
300.6,369,F
302.6,369.8,F
301.9,346.4,F
301.1,338.9,F
301.3,347.9,F
302.1,328.1,F
303.5,288.5,F
304,270.7,F
302.2,549.6,F
303.2,553.7,F
304,548.6,F
303.9,523,F
303.3,514.9,F
304.9,475.3,F
305,489.5,F
308,458.1,F
315.8,531.5,F
316,464,F
316.7,531.7,F
316.8,443.6,F
315.6,344.4,F
317.8,519.6,F
317.6,495.8,F
318.8,441.2,F
303.7,525.8,F
303.5,516.1,F
302.6,515.8,F
305.1,480.5,F
306.3,470,F
306.2,456.4,F
306,429.3,F
303.5,405.9,F
309,487.1,F
307,480,F
305.2,524.4,F
305,548.2,F
305,558.9,F
304.8,541.1,F
305.3,530,F
305.7,515,F
305.5,561.1,F
305.7,562.3,F
306.3,558.9,F
306.3,551.5,F
306.9,539.5,F
307.9,523.6,F
306.8,504.2,F
306.3,484.8,F
316.1,555.6,S
316.5,561.1,S
315.1,568.2,S
315.9,566,S
319.4,545,S
319.8,545.6,S
348.9,549.3,S
367.8,364.2,S
288,569.7,S
288,570.2,S
288.2,569,S
287.6,563.1,S
287.4,554,S
286.4,540.1,S
286,522.2,S
285.8,499.4,S
291.4,594.3,S
298.1,565.4,S
297.2,438.6,S
297,491,S
297.2,485,S
298.2,353.2,S
299.6,363.7,S
297.6,453,S
294.6,542.6,S
298.9,593.2,S
298.4,545,S
295.9,541.6,S
296.5,517,S
297.9,485.1,S
300.2,448.8,S
300.5,442.2,S
349,265.6,S
347.6,348.6,S
342,496.4,S
330.6,425.8,S
305.1,576.3,S
309.3,530.9,S
320.5,489.8,S
322.7,438.8,S
323.3,537.5,S
324.1,591.1,S
319.2,491.2,S
318.8,473.7,S
319,416.3,S
318.9,446.3,S
319.6,468.3,S
316.7,342,S
316.6,556.1,S
316.6,560.4,S
317.2,559.2,S
317.7,552.3,S
317.6,543.6,S
317.6,529.9,S
317.6,512.2,S
317.9,490.7,S
311.2,569.5,S
311.8,572.3,S
312.4,570.6,S
312.5,566.1,S
312.9,555.5,S
312.2,526.4,S
312.3,522.7,S
312.5,503.5,S
311.1,604.6,S
310.9,568.3,S
311.9,589.2,S
314.7,624.4,S
316.8,611.8,S
315.4,550.6,S
313.5,558.2,S
309.8,481.2,S
312.8,587.8,S
311,571.8,S
311.1,594.1,S
313,551.1,S
314.9,576.2,S
315.8,575.9,S
313.6,557.4,S
312.4,535.9,S
306.6,567,S
311,582.3,S
314.1,473,S
310.7,401.9,S
307.7,466.8,S
307.2,505,S
306.1,556.8,S
304.1,392.9,S
308.8,569.7,F
314.4,643.2,F
315.7,633.1,F
312.5,561,F
313.7,553.7,F
317.8,603.8,F
321.9,374.1,F
320.2,443.9,F
317.4,552.7,S
318.1,560.5,S
321.4,589.4,S
320.2,526.1,S
320.4,510.6,S
325.2,487.7,S
336.6,381.9,S
332.7,288.8,S
357.4,434.6,S
348.4,498.1,S
340.4,502.5,S
336.9,408.3,S
340.5,353.6,S
342,372.8,S
339.7,345.2,S
341.8,343.9,S
376.3,187.3,C
383.9,166.6,C
385.5,179.7,C
382.9,295.6,C
368.2,448.1,C
352.7,465.7,C
354.7,265.8,C
346.3,254.4,C
390.3,129.7,C
388.5,146.8,C
388.4,161.3,C
389.9,325.5,C
389.6,259.1,C
390.3,245.2,C
391.7,298.4,C
384.5,273.3,C
387.3,231,C
386.8,250.6,C
386.9,222.5,C
387,250,C
387.1,221.5,C
386.5,172.1,C
385.7,172.8,C
385.1,176,C
377.4,272.3,C
355.4,349.9,C
341.6,439.1,C
347.4,402.3,C
364.1,341.2,C
367.6,326.1,C
364.4,335.9,C
364.3,305.1,C
371.9,341.1,C
352.6,365,C
333.2,428.5,C
326,567.3,C
326.3,472.6,C
328.8,432.8,C
337.4,326.8,C
339.4,473.4,C
383.4,59.31,C
385.8,69.8,C
385.8,80.6,C
386.9,76.03,C
380.1,97,C
383.5,95.1,C
380.7,68.54,C
381.8,42.42,C
325.9,630.6,C
374.9,486.2,C
381.4,412.8,C
338.9,521,C
305.3,562.8,C
304.1,573.7,C
304.6,558.2,C
305.8,542.3,C
313,569.5,S
315.4,578.6,S
317.8,581.2,S
315.7,583,S
316.7,577.4,S
317.7,563.5,S
318.6,545.7,S
320.3,517.1,S
312.9,576.6,F
314,580.1,F
315.1,577.3,F
315.2,573.3,F
322.5,568.8,F
316.9,554.5,F
315.2,538.6,F
315.4,521,F
307.2,611.6,S
305.7,614.3,S
305.7,627.6,S
305.2,624.7,S
304.5,597.4,S
304.2,554.6,S
304.2,539.2,S
304.9,535.3,S
308.1,617.2,S
308.6,616.5,S
310.1,625,S
309.5,598.7,S
307.9,513.2,S
309.5,585,S
310.8,585.4,S
312.7,563.1,S
331.3,416.3,S
335.9,358.4,S
334,479,S
324.7,515.2,S
321.6,567.4,S
319.5,542.8,S
321.7,546.4,S
323.5,556.6,S
350.4,403.3,S
328.2,349.4,S
328.2,348.9,S
318.5,427.1,S
301.7,561.2,S
300.8,542.6,S
302.7,568.1,S
304,532.3,S
336.9,357.9,F
333.3,362.6,F
321,357.3,F
319.9,498,F
